Lecture ID,Lecture title,YouTube URL,Output name
reaction-mechanism-lecture-02,Free Radical Substitution 01 | Halogenation of Alkane,https://youtu.be/ByfT-458Eoc,comments-02-free-radical-substitution-01-halogenation-of-alkane
reaction-mechanism-lecture-03,Free Radical Substitution 02 | Selectivity in Halogenation,https://youtu.be/iXvpYAxpvy0,comments-03-free-radical-substitution-02-selectivity-in-halogenation
reaction-mechanism-lecture-04,Free Radical Substitution 03 | Allylic Substitution,https://youtu.be/ghbjFdbn7Bs,comments-04-free-radical-substitution-03-allylic-substitution
reaction-mechanism-lecture-05,"Electrophilic Substitution 01: Chlorination, Nitration in Benzene",https://youtu.be/FaqaUXfbVVg,comments-05-electrophilic-substitution-01-chlorination-nitration-in-benzene
reaction-mechanism-lecture-06,Electrophilic Substitution 02: Friedel-Crafts Reaction,https://youtu.be/DpEz-viSqIk,comments-06-electrophilic-substitution-02-friedel-crafts-reaction
reaction-mechanism-lecture-07,Electrophilic Substitution 03: Effect of Substituent on Reactivity of Benzene,https://youtu.be/DbLRZuwozuY,comments-07-electrophilic-substitution-03-effect-of-substituent-on-reactivity-of-benzene
reaction-mechanism-lecture-08,Nucleophilic Substitution 01: Leaving Group Tendency,https://youtu.be/Qwqemb3a1oc,comments-08-nucleophilic-substitution-01-leaving-group-tendency
reaction-mechanism-lecture-09,Nucleophilic Substitution 02: SN1 Reaction and Mechanism,https://youtu.be/zzaGc5J4J_E,comments-09-nucleophilic-substitution-02-sn1-reaction-and-mechanism
reaction-mechanism-lecture-10,Nucleophilic Substitution 03: SN2 Reaction and Mechanism,https://youtu.be/AkxlE-GJPHE,comments-10-nucleophilic-substitution-03-sn2-reaction-and-mechanism
reaction-mechanism-lecture-11,Electrophilic Addition 01: Addition of HX to Alkene - Markovnikov's Rule,https://youtu.be/eZfn-nN9JTI,comments-11-electrophilic-addition-01-addition-of-hx-to-alkene-markovnikovs-rule
reaction-mechanism-lecture-12,Free Radical Addition: Anti-Markovnikov's Rule,https://youtu.be/uTgJK0oIctM,comments-12-free-radical-addition-anti-markovnikovs-rule
reaction-mechanism-lecture-13,Electrophilic Addition 02: Anti Addition of Bromine,https://youtu.be/6NFYSUs0CRM,comments-13-electrophilic-addition-02-anti-addition-of-bromine
reaction-mechanism-lecture-14,Elimination Reaction 01 || E1 Reaction,https://youtu.be/VKaSaBy6U_k,comments-14-elimination-reaction-01-e1-reaction
reaction-mechanism-lecture-15,Elimination Reaction 02 || E2 Reaction,https://youtu.be/hC9jKtZOYbw,comments-15-elimination-reaction-02-e2-reaction
hydrocarbons-lecture-01,Preparation of Alkanes 01: Reduction of Alkene/Alkyne & Alkyl Halides,https://youtu.be/sIBqmtI82c0,comments-01-preparation-of-alkanes-01-reduction-of-alkene-alkyne-and-alkyl-halides
hydrocarbons-lecture-02,Preparation of Alkanes 02: Wurtz Reaction (and Frankland Reaction),https://youtu.be/TSTLwyiBZrc,comments-02-preparation-of-alkanes-02-wurtz-reaction-and-frankland-reaction
hydrocarbons-lecture-03,Preparation of Alkanes 03: Kolbe's Electrolytic Method,https://youtu.be/74r32fxbfK4,comments-03-preparation-of-alkanes-03-kolbes-electrolytic-method
hydrocarbons-lecture-04,Preparation of Alkanes 04: Soda Lime - Decarboxylation,https://youtu.be/EKaIAfxw72E,comments-04-preparation-of-alkanes-04-soda-lime-decarboxylation
